Frame, Time (ms), Delta (ms) , Memory (mb)
  696,8457.376,13.137,4546
  697,8468.033,10.657,4546
  698,8479.616,11.583,4546
  699,8491.701,12.085,4546
  700,8502.628,10.927,4546
  701,8514.777,12.149,4546
  702,8528.499,13.722,4546
  703,8540.186,11.686,4546
  704,8551.702,11.517,4546
  705,8562.935,11.232,4546
  706,8574.457,11.523,4546
  707,8585.831,11.374,4546
  708,8596.170,10.339,4546
  709,8609.155,12.985,4546
  710,8620.021,10.866,4546
  711,8630.685,10.663,4546
  712,8643.510,12.825,4546
  713,8654.939,11.430,4546
  714,8666.681,11.741,4546
  715,8679.760,13.079,4546
  716,8690.364,10.605,4546
  717,8702.771,12.406,4546
  718,8713.646,10.876,4546
  719,8725.429,11.782,4546
  720,8736.842,11.413,4546
  721,8748.739,11.898,4546
  722,8760.302,11.562,4546
  723,8771.302,11.000,4546
  724,8781.674,10.372,4546
  725,8795.156,13.483,4546
  726,8805.874,10.718,4546
  727,8817.898,12.024,4546
  728,8829.987,12.089,4546
  729,8842.194,12.207,4546
  730,8853.071,10.877,4546
  731,8865.036,11.965,4546
  732,8876.626,11.590,4546
  733,8888.382,11.755,4546
  734,8899.987,11.606,4546
  735,8913.757,13.769,4546
  736,8926.550,12.793,4546
  737,8937.945,11.396,4546
  738,8949.625,11.680,4546
  739,8961.313,11.688,4546
  740,8973.145,11.831,4546
  741,8984.763,11.618,4546
  742,8996.337,11.574,4546
  743,9008.556,12.219,4546
  744,9019.723,11.167,4546
  745,9031.923,12.200,4546
  746,9043.470,11.547,4546
  747,9054.478,11.008,4546
  748,9066.209,11.732,4546
  749,9078.256,12.046,4546
  750,9089.276,11.021,4546
  751,9101.720,12.443,4546
  752,9112.979,11.260,4546
  753,9124.837,11.857,4546
  754,9136.237,11.401,4546
  755,9146.861,10.624,4546
  756,9159.782,12.921,4546
  757,9171.887,12.104,4546
  758,9183.626,11.740,4546
  759,9195.800,12.173,4546
  760,9207.228,11.428,4546
  761,9218.620,11.393,4546
  762,9229.754,11.133,4546
  763,9242.060,12.306,4546
  764,9253.752,11.693,4546
  765,9265.428,11.675,4546
  766,9276.775,11.348,4546
  767,9288.522,11.747,4546
  768,9300.193,11.671,4546
  769,9312.588,12.394,4546
  770,9323.620,11.033,4546
  771,9335.962,12.341,4546
  772,9346.795,10.833,4546
  773,9359.555,12.760,4546
  774,9370.782,11.228,4546
  775,9383.731,12.949,4546
  776,9395.319,11.588,4546
  777,9409.138,13.818,4546
  778,9420.500,11.363,4546
  779,9432.812,12.311,4546
  780,9444.051,11.239,4546
  781,9457.072,13.022,4546
  782,9470.209,13.137,4546
  783,9483.179,12.969,4546
  784,9494.642,11.463,4546
  785,9506.197,11.556,4546
  786,9517.851,11.653,4546
  787,9530.031,12.181,4546
  788,9541.383,11.351,4546
  789,9553.232,11.850,4546
  790,9564.561,11.328,4546
  791,9577.804,13.243,4546
  792,9589.497,11.694,4546
  793,9601.311,11.813,4546
  794,9613.604,12.293,4546
  795,9625.490,11.887,4546
  796,9636.771,11.280,4546
  797,9647.995,11.225,4546
  798,9660.836,12.840,4546
  799,9672.268,11.432,4546
  800,9684.292,12.025,4546
  801,9696.494,12.202,4546
  802,9708.229,11.734,4546
  803,9720.105,11.877,4546
  804,9732.204,12.099,4546
  805,9744.788,12.584,4546
  806,9755.620,10.832,4546
  807,9767.257,11.636,4546
  808,9779.718,12.461,4546
  809,9791.971,12.253,4546
  810,9803.841,11.870,4546
  811,9814.929,11.088,4546
  812,9828.438,13.509,4546
  813,9839.575,11.138,4546
  814,9851.206,11.631,4546
  815,9863.581,12.375,4546
  816,9875.345,11.763,4546
  817,9887.547,12.202,4546
  818,9898.598,11.051,4546
  819,9911.364,12.767,4546
  820,9922.965,11.600,4546
  821,9936.270,13.305,4546
  822,9947.620,11.351,4546
  823,9959.650,12.030,4546
  824,9971.539,11.889,4546
  825,9982.666,11.127,4546
  826,9995.201,12.535,4546
  827,10007.198,11.997,4546
  828,10019.162,11.964,4546
  829,10031.104,11.941,4546
  830,10043.792,12.689,4546
  831,10055.527,11.735,4546
  832,10067.887,12.359,4546
  833,10079.580,11.694,4546
  834,10091.622,12.042,4546
  835,10105.613,13.991,4548
  836,10117.601,11.987,4548
  837,10129.523,11.923,4548
  838,10141.629,12.105,4548
  839,10153.900,12.272,4548
  840,10165.683,11.782,4548
  841,10177.648,11.966,4548
  842,10190.394,12.745,4548
  843,10203.472,13.078,4548
  844,10214.412,10.941,4548
  845,10227.755,13.342,4550
  846,10239.800,12.045,4550
  847,10252.297,12.497,4550
  848,10263.598,11.301,4550
  849,10276.347,12.749,4550
  850,10288.599,12.252,4550
  851,10301.745,13.147,4550
  852,10313.371,11.626,4550
  853,10326.253,12.881,4550
  854,10337.858,11.606,4550
  855,10350.277,12.419,4550
  856,10362.673,12.395,4550
  857,10375.642,12.969,4550
  858,10387.579,11.938,4550
  859,10400.388,12.808,4550
  860,10412.550,12.162,4550
  861,10423.916,11.367,4550
  862,10436.402,12.486,4550
  863,10449.556,13.153,4550
  864,10463.032,13.477,4550
  865,10475.879,12.846,4550
  866,10487.677,11.798,4551
  867,10499.513,11.836,4551
  868,10511.620,12.108,4551
  869,10523.982,12.362,4551
  870,10536.246,12.264,4551
  871,10548.828,12.582,4551
  872,10560.511,11.682,4553
  873,10573.361,12.851,4553
  874,10585.282,11.921,4553
  875,10596.683,11.400,4553
  876,10610.085,13.402,4553
  877,10622.281,12.197,4553
  878,10634.635,12.353,4553
  879,10646.868,12.234,4553
  880,10659.868,13.000,4553
  881,10671.242,11.374,4553
  882,10682.948,11.706,4553
  883,10696.561,13.612,4553
  884,10709.389,12.828,4553
  885,10721.604,12.215,4553
  886,10734.362,12.759,4553
  887,10746.995,12.633,4553
  888,10759.254,12.258,4553
  889,10771.244,11.991,4553
  890,10783.616,12.372,4553
  891,10796.568,12.952,4553
  892,10809.035,12.467,4553
  893,10821.545,12.509,4553
  894,10834.152,12.608,4553
  895,10846.979,12.826,4553
  896,10860.948,13.970,4553
  897,10873.090,12.141,4553
  898,10885.026,11.937,4553
  899,10896.945,11.919,4553
  900,10910.454,13.509,4553
  901,10924.560,14.105,4553
  902,10936.510,11.950,4553
  903,10949.031,12.522,4553
  904,10960.870,11.839,4553
  905,10974.261,13.390,4553
  906,10987.778,13.518,4553
  907,11000.118,12.340,4553
  908,11012.366,12.248,4553
  909,11024.409,12.043,4553
  910,11036.662,12.253,4553
  911,11048.861,12.199,4553
  912,11061.132,12.270,4553
  913,11073.721,12.589,4553
  914,11085.870,12.150,4553
  915,11097.464,11.593,4553
  916,11110.889,13.425,4553
  917,11123.128,12.239,4553
  918,11135.872,12.745,4553
  919,11148.944,13.072,4553
  920,11160.796,11.851,4553
  921,11173.810,13.014,4553
  922,11186.458,12.648,4553
  923,11197.950,11.493,4553
  924,11211.242,13.292,4553
  925,11223.761,12.518,4553
  926,11237.373,13.613,4553
  927,11251.417,14.043,4553
  928,11264.091,12.674,4553
  929,11276.444,12.354,4552
